name,area
SuperScan (HAADF) 44,30.0
SuperScan (HAADF) 44,24.0
SuperScan (HAADF) 44,44.0
SuperScan (HAADF) 44,26.5
SuperScan (HAADF) 44,17.0
SuperScan (HAADF) 44,35.0
SuperScan (HAADF) 44,23.0
SuperScan (HAADF) 44,50.5
SuperScan (HAADF) 44,20.5
SuperScan (HAADF) 44,28.0
SuperScan (HAADF) 44,42.0
SuperScan (HAADF) 44,19.5
SuperScan (HAADF) 44,3.5
SuperScan (HAADF) 44,15.0
SuperScan (HAADF) 44,20.0
SuperScan (HAADF) 44,24.0
SuperScan (HAADF) 44,22.5
SuperScan (HAADF) 44,11.5
SuperScan (HAADF) 44,17.5
SuperScan (HAADF) 44,6.0
SuperScan (HAADF) 44,25.0
SuperScan (HAADF) 44,24.0
SuperScan (HAADF) 44,2.5
SuperScan (HAADF) 44,18.0
SuperScan (HAADF) 44,22.0
SuperScan (HAADF) 44,23.5
SuperScan (HAADF) 44,21.0
SuperScan (HAADF) 44,29.5
SuperScan (HAADF) 44,19.5
SuperScan (HAADF) 44,18.5
SuperScan (HAADF) 44,4.0
SuperScan (HAADF) 44,11.5
SuperScan (HAADF) 44,5.0
SuperScan (HAADF) 44,25.5
SuperScan (HAADF) 44,1.0
SuperScan (HAADF) 44,9.5
SuperScan (HAADF) 44,33.5
SuperScan (HAADF) 44,1.0
SuperScan (HAADF) 44,27.0
SuperScan (HAADF) 44,36.5
SuperScan (HAADF) 44,36.0
SuperScan (HAADF) 44,17.5
SuperScan (HAADF) 44,25.5
SuperScan (HAADF) 44,3.5
SuperScan (HAADF) 44,15.5
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,17.0
SuperScan (HAADF) 44,16.0
SuperScan (HAADF) 44,14.0
SuperScan (HAADF) 44,30.0
SuperScan (HAADF) 44,12.5
SuperScan (HAADF) 44,2.0
SuperScan (HAADF) 44,34.5
SuperScan (HAADF) 44,25.5
SuperScan (HAADF) 44,11.0
SuperScan (HAADF) 44,26.0
SuperScan (HAADF) 44,40.0
SuperScan (HAADF) 44,33.0
SuperScan (HAADF) 44,11.0
SuperScan (HAADF) 44,1.5
SuperScan (HAADF) 44,4.5
SuperScan (HAADF) 44,12.5
SuperScan (HAADF) 44,38.0
SuperScan (HAADF) 44,20.0
SuperScan (HAADF) 44,6.5
SuperScan (HAADF) 44,26.0
SuperScan (HAADF) 44,37.5
SuperScan (HAADF) 44,38.0
SuperScan (HAADF) 44,64.5
SuperScan (HAADF) 44,22.0
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,24.5
SuperScan (HAADF) 44,16.0
SuperScan (HAADF) 44,17.0
SuperScan (HAADF) 44,34.5
SuperScan (HAADF) 44,13.5
SuperScan (HAADF) 44,24.0
SuperScan (HAADF) 44,25.0
SuperScan (HAADF) 44,6.5
SuperScan (HAADF) 44,27.5
SuperScan (HAADF) 44,9.5
SuperScan (HAADF) 44,1.5
SuperScan (HAADF) 44,47.0
SuperScan (HAADF) 44,37.0
SuperScan (HAADF) 44,24.0
SuperScan (HAADF) 44,56.5
SuperScan (HAADF) 44,26.0
SuperScan (HAADF) 44,22.5
SuperScan (HAADF) 44,17.5
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,17.0
SuperScan (HAADF) 44,23.5
SuperScan (HAADF) 44,23.5
SuperScan (HAADF) 44,12.0
SuperScan (HAADF) 44,28.0
SuperScan (HAADF) 44,15.0
SuperScan (HAADF) 44,32.0
SuperScan (HAADF) 44,17.0
SuperScan (HAADF) 44,40.5
SuperScan (HAADF) 44,25.0
SuperScan (HAADF) 44,32.0
SuperScan (HAADF) 44,19.5
SuperScan (HAADF) 44,34.0
SuperScan (HAADF) 44,28.5
SuperScan (HAADF) 44,23.5
SuperScan (HAADF) 44,22.0
SuperScan (HAADF) 44,10.0
SuperScan (HAADF) 44,14.5
SuperScan (HAADF) 44,35.0
SuperScan (HAADF) 44,31.0
SuperScan (HAADF) 44,1.5
SuperScan (HAADF) 44,33.0
SuperScan (HAADF) 44,31.0
SuperScan (HAADF) 44,28.5
SuperScan (HAADF) 44,32.0
SuperScan (HAADF) 44,24.5
SuperScan (HAADF) 44,24.5
SuperScan (HAADF) 44,35.0
SuperScan (HAADF) 44,26.5
SuperScan (HAADF) 44,17.5
SuperScan (HAADF) 44,11.5
SuperScan (HAADF) 44,11.5
SuperScan (HAADF) 44,14.5
SuperScan (HAADF) 44,6.5
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,26.0
SuperScan (HAADF) 44,3.5
SuperScan (HAADF) 44,2.0
SuperScan (HAADF) 44,30.0
SuperScan (HAADF) 44,4.5
SuperScan (HAADF) 44,1.5
SuperScan (HAADF) 44,19.5
SuperScan (HAADF) 44,20.5
SuperScan (HAADF) 44,24.5
SuperScan (HAADF) 44,15.0
SuperScan (HAADF) 44,32.5
SuperScan (HAADF) 44,58.0
SuperScan (HAADF) 44,4.0
SuperScan (HAADF) 44,6.5
SuperScan (HAADF) 44,29.5
SuperScan (HAADF) 44,22.0
SuperScan (HAADF) 44,15.5
SuperScan (HAADF) 44,3.5
SuperScan (HAADF) 44,23.0
SuperScan (HAADF) 44,3.0
SuperScan (HAADF) 44,19.0
SuperScan (HAADF) 44,20.5
SuperScan (HAADF) 44,28.0
SuperScan (HAADF) 44,2.5
SuperScan (HAADF) 44,23.5
SuperScan (HAADF) 44,31.5
SuperScan (HAADF) 44,28.0
SuperScan (HAADF) 44,7.0
SuperScan (HAADF) 44,11.0
SuperScan (HAADF) 44,30.5
SuperScan (HAADF) 44,30.0
SuperScan (HAADF) 44,32.0
SuperScan (HAADF) 44,1.0
SuperScan (HAADF) 44,17.0
SuperScan (HAADF) 44,25.5
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,24.0
SuperScan (HAADF) 44,24.0
SuperScan (HAADF) 44,1.0
SuperScan (HAADF) 44,29.5
SuperScan (HAADF) 44,24.0
SuperScan (HAADF) 44,31.0
SuperScan (HAADF) 44,21.5
SuperScan (HAADF) 44,25.0
SuperScan (HAADF) 44,17.5
SuperScan (HAADF) 44,19.0
SuperScan (HAADF) 44,21.5
SuperScan (HAADF) 44,18.5
SuperScan (HAADF) 44,21.5
SuperScan (HAADF) 44,22.5
SuperScan (HAADF) 44,42.5
SuperScan (HAADF) 44,21.0
SuperScan (HAADF) 44,31.5
SuperScan (HAADF) 44,31.0
SuperScan (HAADF) 44,30.0
SuperScan (HAADF) 44,1.5
SuperScan (HAADF) 44,17.0
SuperScan (HAADF) 44,1.5
SuperScan (HAADF) 44,22.0
SuperScan (HAADF) 44,35.5
SuperScan (HAADF) 44,35.0
SuperScan (HAADF) 44,31.5
SuperScan (HAADF) 44,22.0
SuperScan (HAADF) 44,8.5
SuperScan (HAADF) 44,53.0
SuperScan (HAADF) 44,17.0
SuperScan (HAADF) 44,4.5
SuperScan (HAADF) 44,15.5
SuperScan (HAADF) 44,35.5
SuperScan (HAADF) 44,46.5
SuperScan (HAADF) 44,30.0
SuperScan (HAADF) 44,21.5
SuperScan (HAADF) 44,32.5
SuperScan (HAADF) 44,11.5
SuperScan (HAADF) 44,13.5
SuperScan (HAADF) 44,14.5
SuperScan (HAADF) 44,31.5
SuperScan (HAADF) 44,27.0
SuperScan (HAADF) 44,21.0
SuperScan (HAADF) 44,38.0
SuperScan (HAADF) 44,28.0
SuperScan (HAADF) 44,28.0
SuperScan (HAADF) 44,27.5
SuperScan (HAADF) 44,4.5
SuperScan (HAADF) 44,30.0
SuperScan (HAADF) 44,13.5
SuperScan (HAADF) 44,58.5
SuperScan (HAADF) 44,35.0
SuperScan (HAADF) 44,17.5
SuperScan (HAADF) 44,2.0
SuperScan (HAADF) 44,24.0
SuperScan (HAADF) 44,37.0
SuperScan (HAADF) 44,10.0
SuperScan (HAADF) 44,9.0
SuperScan (HAADF) 44,16.0
SuperScan (HAADF) 44,20.5
SuperScan (HAADF) 44,39.0
SuperScan (HAADF) 44,3.5
SuperScan (HAADF) 44,13.5
SuperScan (HAADF) 44,27.5
SuperScan (HAADF) 44,0.5
SuperScan (HAADF) 44,3.0
SuperScan (HAADF) 44,22.0
SuperScan (HAADF) 44,5.5
SuperScan (HAADF) 44,17.5
SuperScan (HAADF) 44,19.0
SuperScan (HAADF) 44,13.0
SuperScan (HAADF) 44,36.0
SuperScan (HAADF) 44,22.0
SuperScan (HAADF) 44,30.5
SuperScan (HAADF) 44,11.5
SuperScan (HAADF) 44,19.0
SuperScan (HAADF) 44,25.5
SuperScan (HAADF) 44,23.0
SuperScan (HAADF) 44,17.0
SuperScan (HAADF) 44,58.5
SuperScan (HAADF) 44,29.5
SuperScan (HAADF) 44,2.0
SuperScan (HAADF) 44,23.5
SuperScan (HAADF) 44,5.0
SuperScan (HAADF) 44,19.0
SuperScan (HAADF) 44,26.5
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,7.0
SuperScan (HAADF) 44,33.0
SuperScan (HAADF) 44,12.5
SuperScan (HAADF) 44,18.0
SuperScan (HAADF) 44,22.0
SuperScan (HAADF) 44,3.5
SuperScan (HAADF) 44,2.0
SuperScan (HAADF) 44,24.5
SuperScan (HAADF) 44,1.0
SuperScan (HAADF) 44,49.5
SuperScan (HAADF) 44,0.5
SuperScan (HAADF) 44,22.0
SuperScan (HAADF) 44,6.5
SuperScan (HAADF) 44,36.5
SuperScan (HAADF) 44,0.5
SuperScan (HAADF) 44,27.0
SuperScan (HAADF) 44,49.0
SuperScan (HAADF) 44,15.0
SuperScan (HAADF) 44,26.5
SuperScan (HAADF) 44,32.0
SuperScan (HAADF) 44,10.0
SuperScan (HAADF) 44,11.5
SuperScan (HAADF) 44,35.5
SuperScan (HAADF) 44,30.5
SuperScan (HAADF) 44,52.0
SuperScan (HAADF) 44,16.0
SuperScan (HAADF) 44,28.5
SuperScan (HAADF) 44,8.0
SuperScan (HAADF) 44,1.0
SuperScan (HAADF) 44,35.0
SuperScan (HAADF) 44,39.0
SuperScan (HAADF) 44,20.0
SuperScan (HAADF) 44,20.5
SuperScan (HAADF) 44,21.0
SuperScan (HAADF) 44,25.0
SuperScan (HAADF) 44,26.5
SuperScan (HAADF) 44,18.5
SuperScan (HAADF) 44,47.0
SuperScan (HAADF) 44,25.5
SuperScan (HAADF) 44,7.5
SuperScan (HAADF) 44,17.0
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,16.0
SuperScan (HAADF) 44,25.5
SuperScan (HAADF) 44,28.5
SuperScan (HAADF) 44,23.0
SuperScan (HAADF) 44,23.0
SuperScan (HAADF) 44,32.0
SuperScan (HAADF) 44,28.0
SuperScan (HAADF) 44,4.5
SuperScan (HAADF) 44,31.5
SuperScan (HAADF) 44,11.0
SuperScan (HAADF) 44,4.5
SuperScan (HAADF) 44,42.5
SuperScan (HAADF) 44,17.0
SuperScan (HAADF) 44,36.0
SuperScan (HAADF) 44,26.0
SuperScan (HAADF) 44,25.0
SuperScan (HAADF) 44,35.5
SuperScan (HAADF) 44,39.0
SuperScan (HAADF) 44,14.5
SuperScan (HAADF) 44,36.0
SuperScan (HAADF) 44,22.5
SuperScan (HAADF) 44,19.0
SuperScan (HAADF) 44,2.0
SuperScan (HAADF) 44,17.0
SuperScan (HAADF) 44,19.5
SuperScan (HAADF) 44,4.0
SuperScan (HAADF) 44,30.5
SuperScan (HAADF) 44,7.0
SuperScan (HAADF) 44,25.5
SuperScan (HAADF) 44,31.0
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,24.5
SuperScan (HAADF) 44,14.0
SuperScan (HAADF) 44,36.0
SuperScan (HAADF) 44,28.0
SuperScan (HAADF) 44,3.5
SuperScan (HAADF) 44,6.5
SuperScan (HAADF) 44,23.0
SuperScan (HAADF) 44,7.5
SuperScan (HAADF) 44,33.0
SuperScan (HAADF) 44,25.5
SuperScan (HAADF) 44,24.0
SuperScan (HAADF) 44,27.0
SuperScan (HAADF) 44,7.0
SuperScan (HAADF) 44,20.5
SuperScan (HAADF) 44,15.0
SuperScan (HAADF) 44,8.0
SuperScan (HAADF) 44,51.0
SuperScan (HAADF) 44,38.0
SuperScan (HAADF) 44,7.0
SuperScan (HAADF) 44,9.0
SuperScan (HAADF) 44,31.0
SuperScan (HAADF) 44,31.5
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,27.5
SuperScan (HAADF) 44,7.0
SuperScan (HAADF) 44,26.5
SuperScan (HAADF) 44,9.5
SuperScan (HAADF) 44,23.5
SuperScan (HAADF) 44,2.0
SuperScan (HAADF) 44,37.5
SuperScan (HAADF) 44,18.0
SuperScan (HAADF) 44,32.0
SuperScan (HAADF) 44,5.5
SuperScan (HAADF) 44,23.0
SuperScan (HAADF) 44,20.5
SuperScan (HAADF) 44,22.0
SuperScan (HAADF) 44,44.0
SuperScan (HAADF) 44,0.5
SuperScan (HAADF) 44,9.5
SuperScan (HAADF) 44,35.0
SuperScan (HAADF) 44,8.0
SuperScan (HAADF) 44,18.5
SuperScan (HAADF) 44,24.0
SuperScan (HAADF) 44,32.5
SuperScan (HAADF) 44,41.5
SuperScan (HAADF) 44,22.5
SuperScan (HAADF) 44,44.5
SuperScan (HAADF) 44,12.5
SuperScan (HAADF) 44,11.5
SuperScan (HAADF) 44,60.0
SuperScan (HAADF) 44,44.0
SuperScan (HAADF) 44,3.5
SuperScan (HAADF) 44,10.5
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,28.0
SuperScan (HAADF) 44,8.5
SuperScan (HAADF) 44,31.0
SuperScan (HAADF) 44,8.5
SuperScan (HAADF) 44,28.0
SuperScan (HAADF) 44,38.5
SuperScan (HAADF) 44,8.5
SuperScan (HAADF) 44,30.0
SuperScan (HAADF) 44,27.0
SuperScan (HAADF) 44,8.5
SuperScan (HAADF) 44,37.0
SuperScan (HAADF) 44,16.0
SuperScan (HAADF) 44,21.5
SuperScan (HAADF) 44,14.0
SuperScan (HAADF) 44,38.0
SuperScan (HAADF) 44,21.0
SuperScan (HAADF) 44,29.5
SuperScan (HAADF) 44,21.0
SuperScan (HAADF) 44,21.5
SuperScan (HAADF) 44,32.0
SuperScan (HAADF) 44,30.0
SuperScan (HAADF) 44,5.0
SuperScan (HAADF) 44,2.0
SuperScan (HAADF) 44,5.5
SuperScan (HAADF) 44,41.0
SuperScan (HAADF) 44,15.0
SuperScan (HAADF) 44,21.5
SuperScan (HAADF) 44,34.0
SuperScan (HAADF) 44,27.0
SuperScan (HAADF) 44,6.0
SuperScan (HAADF) 44,17.0
SuperScan (HAADF) 44,21.0
SuperScan (HAADF) 44,2.5
SuperScan (HAADF) 44,18.0
SuperScan (HAADF) 44,40.5
SuperScan (HAADF) 44,31.5
SuperScan (HAADF) 44,8.0
SuperScan (HAADF) 44,27.0
SuperScan (HAADF) 44,30.5
SuperScan (HAADF) 44,27.5
SuperScan (HAADF) 44,25.0
SuperScan (HAADF) 44,18.5
SuperScan (HAADF) 44,4.0
SuperScan (HAADF) 44,29.5
SuperScan (HAADF) 44,4.0
SuperScan (HAADF) 44,31.0
SuperScan (HAADF) 44,20.0
SuperScan (HAADF) 44,25.5
SuperScan (HAADF) 44,22.5
SuperScan (HAADF) 44,2.5
SuperScan (HAADF) 44,8.5
SuperScan (HAADF) 44,25.5
SuperScan (HAADF) 44,12.5
SuperScan (HAADF) 44,16.5
SuperScan (HAADF) 44,0.5
SuperScan (HAADF) 44,19.5
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,9.5
SuperScan (HAADF) 44,44.0
SuperScan (HAADF) 44,7.5
SuperScan (HAADF) 44,2.5
SuperScan (HAADF) 44,26.5
SuperScan (HAADF) 44,10.0
SuperScan (HAADF) 44,9.5
SuperScan (HAADF) 44,29.5
SuperScan (HAADF) 44,19.5
SuperScan (HAADF) 44,12.5
SuperScan (HAADF) 44,21.0
SuperScan (HAADF) 44,18.0
SuperScan (HAADF) 44,20.0
SuperScan (HAADF) 44,24.5
SuperScan (HAADF) 44,19.5
SuperScan (HAADF) 44,36.0
SuperScan (HAADF) 44,33.5
SuperScan (HAADF) 44,16.0
SuperScan (HAADF) 44,39.0
SuperScan (HAADF) 44,8.0
SuperScan (HAADF) 44,8.0
SuperScan (HAADF) 44,12.5
SuperScan (HAADF) 44,24.0
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,28.0
SuperScan (HAADF) 44,33.0
SuperScan (HAADF) 44,37.5
SuperScan (HAADF) 44,39.0
SuperScan (HAADF) 44,2.0
SuperScan (HAADF) 44,14.5
SuperScan (HAADF) 44,19.0
SuperScan (HAADF) 44,36.5
SuperScan (HAADF) 44,19.5
SuperScan (HAADF) 44,22.5
SuperScan (HAADF) 44,25.0
SuperScan (HAADF) 44,34.5
SuperScan (HAADF) 44,24.5
SuperScan (HAADF) 44,29.5
SuperScan (HAADF) 44,26.5
SuperScan (HAADF) 44,4.5
SuperScan (HAADF) 44,2.0
SuperScan (HAADF) 44,14.0
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,26.5
SuperScan (HAADF) 44,30.5
SuperScan (HAADF) 44,28.5
SuperScan (HAADF) 44,36.0
SuperScan (HAADF) 44,5.5
SuperScan (HAADF) 44,18.0
SuperScan (HAADF) 44,13.5
SuperScan (HAADF) 44,30.5
SuperScan (HAADF) 44,27.0
SuperScan (HAADF) 44,23.0
SuperScan (HAADF) 44,8.0
SuperScan (HAADF) 44,33.0
SuperScan (HAADF) 44,5.0
SuperScan (HAADF) 44,26.5
SuperScan (HAADF) 44,27.5
SuperScan (HAADF) 44,11.5
SuperScan (HAADF) 44,37.0
SuperScan (HAADF) 44,17.0
SuperScan (HAADF) 44,24.5
SuperScan (HAADF) 44,7.5
SuperScan (HAADF) 44,3.0
SuperScan (HAADF) 44,25.5
SuperScan (HAADF) 44,22.0
SuperScan (HAADF) 44,21.5
SuperScan (HAADF) 44,15.0
SuperScan (HAADF) 44,28.5
SuperScan (HAADF) 44,1.5
SuperScan (HAADF) 44,12.5
SuperScan (HAADF) 44,27.0
SuperScan (HAADF) 44,36.0
SuperScan (HAADF) 44,55.5
SuperScan (HAADF) 44,20.5
SuperScan (HAADF) 44,25.5
SuperScan (HAADF) 44,3.0
SuperScan (HAADF) 44,13.0
SuperScan (HAADF) 44,60.0
SuperScan (HAADF) 44,11.5
SuperScan (HAADF) 44,29.5
SuperScan (HAADF) 44,18.5
SuperScan (HAADF) 44,22.0
SuperScan (HAADF) 44,27.0
SuperScan (HAADF) 44,20.0
SuperScan (HAADF) 44,30.0
SuperScan (HAADF) 44,23.0
SuperScan (HAADF) 44,28.0
SuperScan (HAADF) 44,36.0
SuperScan (HAADF) 44,23.0
SuperScan (HAADF) 44,30.5
SuperScan (HAADF) 44,20.5
SuperScan (HAADF) 44,45.0
SuperScan (HAADF) 44,34.0
SuperScan (HAADF) 44,5.0
SuperScan (HAADF) 44,33.0
SuperScan (HAADF) 44,3.0
SuperScan (HAADF) 44,11.0
SuperScan (HAADF) 44,30.0
SuperScan (HAADF) 44,20.5
SuperScan (HAADF) 44,8.0
SuperScan (HAADF) 44,41.5
SuperScan (HAADF) 44,36.0
SuperScan (HAADF) 44,10.0
SuperScan (HAADF) 44,23.0
SuperScan (HAADF) 44,28.5
SuperScan (HAADF) 44,26.5
SuperScan (HAADF) 44,41.5
SuperScan (HAADF) 44,37.5
SuperScan (HAADF) 44,41.0
SuperScan (HAADF) 44,25.0
SuperScan (HAADF) 44,0.5
SuperScan (HAADF) 44,28.5
SuperScan (HAADF) 44,49.5
SuperScan (HAADF) 44,30.0
SuperScan (HAADF) 44,34.5
SuperScan (HAADF) 44,44.5
SuperScan (HAADF) 44,20.0
SuperScan (HAADF) 44,32.5
SuperScan (HAADF) 44,7.5
SuperScan (HAADF) 44,2.0
SuperScan (HAADF) 44,24.5
SuperScan (HAADF) 44,26.0
SuperScan (HAADF) 44,2.0
SuperScan (HAADF) 44,1.0
SuperScan (HAADF) 44,21.5
SuperScan (HAADF) 44,34.5
SuperScan (HAADF) 44,23.0
SuperScan (HAADF) 44,4.5
SuperScan (HAADF) 44,21.0
SuperScan (HAADF) 44,17.5
SuperScan (HAADF) 44,11.5
SuperScan (HAADF) 44,43.0
SuperScan (HAADF) 44,13.0
SuperScan (HAADF) 44,26.0
SuperScan (HAADF) 44,12.0
SuperScan (HAADF) 44,23.0
SuperScan (HAADF) 44,48.5
SuperScan (HAADF) 44,26.5
SuperScan (HAADF) 44,1.5
SuperScan (HAADF) 44,1.5
SuperScan (HAADF) 44,17.0
SuperScan (HAADF) 44,23.5
SuperScan (HAADF) 44,48.5
SuperScan (HAADF) 44,27.0
SuperScan (HAADF) 44,21.0
SuperScan (HAADF) 44,25.0
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,12.0
SuperScan (HAADF) 44,25.0
SuperScan (HAADF) 44,19.0
SuperScan (HAADF) 44,31.5
SuperScan (HAADF) 44,19.5
SuperScan (HAADF) 44,28.0
SuperScan (HAADF) 44,1.0
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,11.5
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,27.0
SuperScan (HAADF) 44,14.0
SuperScan (HAADF) 44,1.0
SuperScan (HAADF) 44,18.5
SuperScan (HAADF) 44,21.0
SuperScan (HAADF) 44,0.5
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,18.5
SuperScan (HAADF) 44,3.0
SuperScan (HAADF) 44,14.5
SuperScan (HAADF) 44,24.5
SuperScan (HAADF) 44,27.0
SuperScan (HAADF) 44,26.0
SuperScan (HAADF) 44,24.5
SuperScan (HAADF) 44,28.5
SuperScan (HAADF) 44,9.5
SuperScan (HAADF) 44,20.5
SuperScan (HAADF) 44,31.0
SuperScan (HAADF) 44,34.5
SuperScan (HAADF) 44,26.0
SuperScan (HAADF) 44,18.5
SuperScan (HAADF) 44,1.0
SuperScan (HAADF) 44,5.0
SuperScan (HAADF) 44,34.0
SuperScan (HAADF) 44,35.0
SuperScan (HAADF) 44,31.5
SuperScan (HAADF) 44,9.5
SuperScan (HAADF) 44,2.0
SuperScan (HAADF) 44,13.0
SuperScan (HAADF) 44,27.0
SuperScan (HAADF) 44,45.5
SuperScan (HAADF) 44,24.5
SuperScan (HAADF) 44,30.5
SuperScan (HAADF) 44,28.0
SuperScan (HAADF) 44,7.0
SuperScan (HAADF) 44,4.0
SuperScan (HAADF) 44,1.5
SuperScan (HAADF) 44,24.0
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,33.0
SuperScan (HAADF) 44,28.5
SuperScan (HAADF) 44,23.5
SuperScan (HAADF) 44,0.5
SuperScan (HAADF) 44,24.5
SuperScan (HAADF) 44,90.0
SuperScan (HAADF) 44,21.5
SuperScan (HAADF) 44,14.0
SuperScan (HAADF) 44,27.5
SuperScan (HAADF) 44,20.0
SuperScan (HAADF) 44,15.0
SuperScan (HAADF) 44,17.0
SuperScan (HAADF) 44,34.5
SuperScan (HAADF) 44,4.0
SuperScan (HAADF) 44,36.5
SuperScan (HAADF) 44,22.5
SuperScan (HAADF) 44,31.0
SuperScan (HAADF) 44,25.5
SuperScan (HAADF) 44,4.5
SuperScan (HAADF) 44,29.5
SuperScan (HAADF) 44,15.0
SuperScan (HAADF) 44,52.5
SuperScan (HAADF) 44,6.0
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,0.5
SuperScan (HAADF) 44,27.5
SuperScan (HAADF) 44,23.5
SuperScan (HAADF) 44,66.5
SuperScan (HAADF) 44,21.0
SuperScan (HAADF) 44,29.5
SuperScan (HAADF) 44,14.0
SuperScan (HAADF) 44,79.5
SuperScan (HAADF) 44,2.0
SuperScan (HAADF) 44,0.5
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,32.5
SuperScan (HAADF) 44,31.5
SuperScan (HAADF) 44,23.0
SuperScan (HAADF) 44,7.5
SuperScan (HAADF) 44,14.0
SuperScan (HAADF) 44,1.0
SuperScan (HAADF) 44,29.5
SuperScan (HAADF) 44,19.0
SuperScan (HAADF) 44,7.5
SuperScan (HAADF) 44,17.0
SuperScan (HAADF) 44,14.5
SuperScan (HAADF) 44,29.5
SuperScan (HAADF) 44,24.0
SuperScan (HAADF) 44,25.5
SuperScan (HAADF) 44,27.0
SuperScan (HAADF) 44,6.5
SuperScan (HAADF) 44,24.0
SuperScan (HAADF) 44,48.0
SuperScan (HAADF) 44,1.0
SuperScan (HAADF) 44,30.5
SuperScan (HAADF) 44,31.0
SuperScan (HAADF) 44,19.0
SuperScan (HAADF) 44,45.0
SuperScan (HAADF) 44,33.0
SuperScan (HAADF) 44,23.0
SuperScan (HAADF) 44,36.0
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,36.5
SuperScan (HAADF) 44,24.5
SuperScan (HAADF) 44,2.0
SuperScan (HAADF) 44,43.0
SuperScan (HAADF) 44,17.5
SuperScan (HAADF) 44,26.5
SuperScan (HAADF) 44,19.5
SuperScan (HAADF) 44,35.5
SuperScan (HAADF) 44,14.0
SuperScan (HAADF) 44,22.5
SuperScan (HAADF) 44,24.5
SuperScan (HAADF) 44,32.5
SuperScan (HAADF) 44,32.5
SuperScan (HAADF) 44,16.5
SuperScan (HAADF) 44,11.5
SuperScan (HAADF) 44,29.0
SuperScan (HAADF) 44,9.0
SuperScan (HAADF) 44,21.0
SuperScan (HAADF) 44,22.0
SuperScan (HAADF) 44,28.5
SuperScan (HAADF) 44,20.0
SuperScan (HAADF) 44,5.0
SuperScan (HAADF) 44,23.5
SuperScan (HAADF) 44,50.0
SuperScan (HAADF) 44,28.0
SuperScan (HAADF) 44,18.0
SuperScan (HAADF) 44,43.0
SuperScan (HAADF) 44,2.0
SuperScan (HAADF) 44,1.5
SuperScan (HAADF) 44,14.5
SuperScan (HAADF) 44,18.5
SuperScan (HAADF) 44,24.0
SuperScan (HAADF) 44,10.0
SuperScan (HAADF) 44,18.5
SuperScan (HAADF) 44,7.5
SuperScan (HAADF) 44,31.5
SuperScan (HAADF) 44,21.5
SuperScan (HAADF) 44,2.5
SuperScan (HAADF) 44,12.0
SuperScan (HAADF) 44,17.5
SuperScan (HAADF) 44,12.5
SuperScan (HAADF) 44,40.0
SuperScan (HAADF) 44,18.5
SuperScan (HAADF) 44,31.5
SuperScan (HAADF) 44,37.5
SuperScan (HAADF) 44,37.5
SuperScan (HAADF) 44,18.0
SuperScan (HAADF) 44,19.0
SuperScan (HAADF) 44,22.5
SuperScan (HAADF) 44,23.5
SuperScan (HAADF) 44,39.5
SuperScan (HAADF) 44,3.5
SuperScan (HAADF) 44,37.0
SuperScan (HAADF) 44,45.0
SuperScan (HAADF) 44,38.0
SuperScan (HAADF) 44,17.0
SuperScan (HAADF) 44,22.0
SuperScan (HAADF) 44,32.0
SuperScan (HAADF) 44,30.0
SuperScan (HAADF) 44,24.5
SuperScan (HAADF) 44,26.5
SuperScan (HAADF) 44,34.0
SuperScan (HAADF) 44,24.0
SuperScan (HAADF) 44,27.0
SuperScan (HAADF) 44,21.5
SuperScan (HAADF) 44,19.5
SuperScan (HAADF) 44,15.0
SuperScan (HAADF) 44,37.0
SuperScan (HAADF) 44,44.5
SuperScan (HAADF) 44,44.5
SuperScan (HAADF) 44,44.5
SuperScan (HAADF) 44,15.5
SuperScan (HAADF) 44,9.5
SuperScan (HAADF) 44,39.5
SuperScan (HAADF) 44,10.0
SuperScan (HAADF) 44,2.5
SuperScan (HAADF) 44,25.5
SuperScan (HAADF) 44,41.5
SuperScan (HAADF) 44,2.5
SuperScan (HAADF) 44,29.5
SuperScan (HAADF) 44,8.0
SuperScan (HAADF) 44,30.5
SuperScan (HAADF) 44,32.5
SuperScan (HAADF) 44,6.0
SuperScan (HAADF) 44,21.5
SuperScan (HAADF) 44,21.5
